#Frame          phi:2        psi:2
     359     -57.6574     135.1335
     360     -37.6805     136.3371
     361     -51.3513     144.1986
     362     -72.2075     -15.5966
     363     -74.1225     171.9702
     364     -95.4140      77.9812
     365     -55.2130     -42.1202
     366    -141.9227      15.2575
     367     -94.5071     143.7305
     368     -67.3775     -11.3350
     369    -107.0198      88.3358
     370     -69.6593     144.9639
     371     -51.3479     141.3359
     372     -71.7536     -28.7998
     373    -104.2522     139.0976
     374     -66.8451     -26.2400
     375     -63.7624     133.9341
     376     -85.2621     -17.6505
     377    -166.0330     141.5093
     378     -88.0783     129.1674
     379     -72.6941     148.4825
     380     -90.0506      68.6988
     381     -79.1475     133.9564
     382     -65.0329     154.1660
     383     -96.8080       3.8863
     384    -130.0251     154.0396
     385     -73.2591     160.4865
     386     -85.8290     153.6662
     387     -84.3859      -6.7782
     388     -99.9956       0.8490
     389     -47.8936     -35.9468
     390     -96.0160     138.3782
     391     -59.1005     112.0267
     392     -86.7106      13.4745
     393     -58.1118     157.4503
     394     -62.9673     -48.8881
     395     -75.9983     -31.7332
     396     -70.2935     -17.5908
     397     -67.8094     154.8420
     398     -77.8315     165.9324
     399     -65.2518      -9.3438
     400     -67.9068     130.6462
     401     -40.5059     130.5875
     402    -164.8256     156.7842
     403     -46.8006     124.4775
     404     -62.7805     120.4085
     405     -72.5763     -18.2157
     406     -55.6296     147.5304
     407     -60.4659     154.7097
     408     -98.4278      85.1652
     409    -111.4395     -10.0957
     410     -67.2545     133.9639
     411    -113.1076     142.2140
     412    -150.3778     141.9560
     413     -89.4152     -12.3382
     414     -56.7474     132.6679
     415    -154.8107     136.4824
     416    -107.1072       3.9674
     417     -84.7174     -11.2501
     418    -105.8352     -35.8882
     419     -71.2289     -19.8202
     420     -67.1207     161.0156
     421     -43.9002     131.1548
     422     -78.7688     125.9769
     423     -78.3915      10.7184
     424    -154.4763     134.3150
     425    -156.5740     146.7061
     426     -56.8550     130.1336
     427     -50.5439     162.6904
     428      50.0585      36.4604
     429      65.6298      45.2433
     430      53.2202      49.9948
     431      53.6537      37.9967
     432      73.2056      48.7685
     433      90.5039     157.9047
     434      41.5222      60.6308
     435      48.8766      47.8576
     436      72.3838      33.6768
     437      51.4466      23.7322
     438      96.8860      29.0071
     439      76.4850     -85.5444
     440      56.2654      51.4495
     441      42.4911      34.1932
     442      58.8794      39.5938
     443      52.1766      47.9447
     444      73.4668      17.9118
     445      60.7928      46.8926
     446      57.0062      20.3444
     447      72.3343      21.9442
     448      55.8505      29.6127
     449      51.4486      38.1847
     450     -70.2076     154.7928
     451     -56.8386     139.4590
     452     -96.5796     -19.6164
     453    -127.7606     -18.0952
     454     -71.1787     -17.1641
     455     -69.7977     -59.9854
     456     -68.3030     147.4038
     457     -50.2924     125.1619
     458     -62.5457     152.2372
     459     -51.0183     136.5721
     460    -135.0582     118.2013
     461     -72.8413     102.0601
     462     -69.2823     160.4902
     463     -56.8805     -31.3643
     464     -65.4746     -17.0130
     465     -48.4625     151.2305
     466    -158.4497     110.6635
     467     -85.8664      69.1614
     468    -111.4834      24.0827
     469     -65.9103     138.9363
     470     -70.5133     118.9967
     471     -65.4325     133.0035
     472     -56.4963     138.5997
     473     -91.4142     153.2545
     474     -75.1550     105.1099
     475    -146.6668     117.3212
     476     -82.7561     -15.7905
     477    -143.8747     140.2102
     478     -56.0076     141.7168
     479     -49.1278     136.1218
     480     -46.1280     144.9177
     481     -50.0568     -53.8009
     482    -140.8557     120.3569
     483    -171.6371     154.1580
     484    -152.8689     110.7402
     485     -69.0895     178.8188
     486     -66.1891     -23.5827
     487     -78.5076     175.1164
     488     -62.8022     108.3247
     489     -70.8416     148.7042
     490     -62.2487     -46.0456
     491     -85.9249      -1.1176
     492     -81.3843     -16.8846
     493    -148.4577      -8.3633
     494     177.7032     138.3083
     495     -74.1581     -47.0686
     496    -148.1283     149.7167
     497    -178.2713     157.2962
     498     -94.4278      55.0415
     499     -80.6925      91.9141
     500    -111.8243      92.6508
     501     -73.7491      -0.1537
     502     -74.5217     -46.7780
     503     -60.4178     -27.2390
     504     -59.7937     138.0602
     505     -89.3042     -14.1526
     506    -112.3124      -0.6831
     507     -82.3672     144.1772
     508     -53.1678     143.7553
     509    -102.8106      -9.0306
     510     -81.8541     155.6592
     511     -49.5099     135.9567
     512     -52.8350     125.5607
     513     -79.1873      -5.4731
     514    -116.8369     138.3994
     515    -158.2490     155.3915
     516     -68.8269     -36.0330
     517     -58.2441     136.7213
     518     -77.2592     159.3165
     519     -72.5850     154.6245
     520     -49.3272     126.3661
     521     -65.6231     140.0387
     522     -64.6261     150.9817
     523     -63.6462     151.9611
     524     -56.7230     132.9641
     525     -75.6207     114.5734
     526     -64.0019     157.6034
     527      83.1868      43.8640
     528      47.9382      24.9064
     529      71.6363      32.0376
     530      88.9471      -0.1351
     531      68.0608      32.0716
     532      92.9334     109.1905
     533      77.4458      39.3511
     534      68.6916      25.9614
     535      33.8654      62.6020
     536      35.5284      48.9411
     537      51.3572      37.4635
     538      42.0266      37.1501
     539      56.2311      50.5251
     540      84.3574     -14.9092
     541      52.1070      36.4176
     542     -80.3206      -1.8246
     543      47.9006      47.6841
     544      74.3324     -79.5904
     545      51.6364      49.4802
     546      72.2266      -1.7550
     547      57.3369      46.8998
     548      69.0955     -11.1023
     549    -142.4730     171.7779
     550     -86.2755     147.1227
